movie_title,release_year,tmdb_id
"Mad Max: Fury Road",2015,76341
"Wedding Crashers",2005,9522
"My Best Friend's Wedding",1997,8874
"Die Hard",1988,562
"Mission: Impossible",1996,954
"Midnight Run",1988,9013
"Step Brothers",2008,12133
"Jaws",1975,578
"The Devil Wears Prada",2006,350
"Forrest Gump",1994,13
"Jurassic Park",1993,329
"Ocean's Eleven",2001,161
"Training Day",2001,2034
"The Social Network",2010,37799
"The Princess Bride",1987,2493
"Michael Clayton",2007,4566
"Inception",2010,27205
"Creed",2015,312221
"The Big Lebowski",1998,115
"Get Out",2017,419430
"Miami Vice",2006,82
"Varsity Blues",1999,14709
"Good Will Hunting",1997,489
"10 Things I Hate About You",1999,4951
"Zodiac",2007,1949
"Friday",1995,10634
"The Dark Knight",2008,155
"The Fugitive",1993,5503
"Face/Off",1997,754
"Scream",1996,4232
"Clueless",1995,9603
"Speed",1994,1637
"The Silence of the Lambs",1991,274
"You've Got Mail",1998,9489
"Point Break",1991,1089
"The Departed",2006,1422
"A Few Good Men",1992,881
"Jerry Maguire",1996,9390
"Heat",1995,949
"Any Given Sunday",1999,9563
"Moneyball",2011,60308
"White Men Can't Jump",1992,10158
"Blue Chips",1994,19819
"The Purge",2013,158015
"Ocean's Twelve",2004,163
"Remember The Titans",2000,10637
"Do The Right Thing",1989,925
"Butch Cassidy And The Sundance Kid",1969,642
"Escape From New York",1981,1103
"Say Anything...",1989,2028
"48 Hrs.",1982,150
"Tango & Cash",1989,9618
"The 40-Year-Old Virgin",2005,6957
"Once Upon a Time... in Hollywood",2019,466272
"Sleeping With The Enemy",1991,7442
"When Harry Met Sally...",1989,639
"Love & Basketball",2000,14736
"Goodfellas",1990,769
"Casino Royale",2006,36557
"Dumb and Dumber",1994,8467
"Blood Diamond",2006,1372
"Indiana Jones and the Last Crusade",1989,89
"This is the End",2013,109414
"Primal Fear",1996,1592
"A Time To Kill", 1996, 1645
"My Cousin Vinny", 1992, 10377
"And Justice for All", 1979, 17443
"The Devil’s Advocate", 1997, 1813
"National Lampoon’s Vacation", 1983, 11153
"Eyes Wide Shut", 1999, 345
"Cruel Intentions", 1999, 52789
"The Equalizer", 2014, 156022
"Lost in Translation", 2003, 153
"Blackhat", 2015, 201088
"A Bronx Tale", 1993, 1607
"The Big Chill", 1983, 12560
"Toy Soldiers", 1991, 10750
"They Live", 1998, 8337
"So I Married an Axe Murderer", 1993, 10442
"In the Line of Fire", 1993, 9386
"The Omen", 1976, 794
"Robin Hood: Prince of Thieves", 1991, 8367
"An Officer anda a Gentleman", 1982, 2623
"Mr. and Mrs. Smith", 2005, 787
"American Pie", 1999, 2105
"Sea of Love", 1989, 12150
"The Pelican Brief", 1993, 9944
"National Lampoon's Christmas Vacation", 1989, 5825
